County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
anchorage municipality alaska,0,Total for all sectors,All establishments,All establishments,2021,"8,769","93,31,911","21,63,058","1,35,205"," ""02020""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,23195622,23898283,24232995,23744107,25897251,27809272
bethel census area alaska,0,Total for all sectors,All establishments,All establishments,2021,213,"1,15,953","28,079","2,181"," ""02050""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,711083,749055,741160,733562,730515,782441
bristol bay borough alaska,0,Total for all sectors,All establishments,All establishments,2021,105,"54,748","5,090",420," ""02060""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,133015,146917,143934,134551,157433,171757
denali borough alaska,0,Total for all sectors,All establishments,All establishments,2021,105,"80,987","17,574",910," ""02068""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,271161,281002,286845,214632,276449,355840
dillingham census area alaska,0,Total for all sectors,All establishments,All establishments,2021,108,"82,942","15,510","1,143"," ""02070""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,276888,286004,279706,267811,265538,288650
fairbanks north star borough alaska,0,Total for all sectors,All establishments,All establishments,2021,"2,542","15,75,747","3,49,028","25,881"," ""02090""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,5765988,5834518,5979009,5862412,6412251,6803651
haines borough alaska,0,Total for all sectors,All establishments,All establishments,2021,135,"25,114","4,841",560," ""02100""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,112647,121669,126560,96378,105603,121088
juneau city and borough alaska,0,Total for all sectors,All establishments,All establishments,2021,"1,109","6,58,620","1,48,319","10,403"," ""02110""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,2511152,2530923,2544344,2480532,2702560,2921336
kenai peninsula borough alaska,0,Total for all sectors,All establishments,All establishments,2021,"2,287","8,65,525","1,87,524","15,063"," ""02122""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,2810764,2721015,2813924,2758055,2987535,3332909
kodiak island borough alaska,0,Total for all sectors,All establishments,All establishments,2021,457,"2,41,042","57,317","4,854"," ""02150""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,820003,819182,840858,828142,846713,921621
lake and peninsula borough alaska,0,Total for all sectors,All establishments,All establishments,2021,53,"26,206","3,536",362," ""02164""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,90141,102181,91989,84100,115698,100394
matanuska-susitna borough alaska,0,Total for all sectors,All establishments,All establishments,2021,"2,609","11,20,115","2,35,189","21,510"," ""02170""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,2647075,2769885,3016996,3198104,3435258,3760716
nome census area alaska,0,Total for all sectors,All establishments,All establishments,2021,174,"1,52,984","34,614","2,058"," ""02180""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,447593,463910,466231,456743,474548,527971
north slope borough alaska,0,Total for all sectors,All establishments,All establishments,2021,146,"6,82,517","1,94,992","4,719"," ""02185""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,6669857,6846658,5668620,4071477,7227735,10099154
northwest arctic borough alaska,0,Total for all sectors,All establishments,All establishments,2021,68,"1,66,873","40,748","1,628"," ""02188""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,638056,644852,620519,662675,670734,736679
sitka city and borough alaska,0,Total for all sectors,All establishments,All establishments,2021,385,"1,57,162","29,213","2,712"," ""02220""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,479694,511699,521623,468119,540579,600014
southeast fairbanks census area alaska,0,Total for all sectors,All establishments,All establishments,2021,165,"1,32,504","28,522","1,525"," ""02240""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,647536,624189,581023,660781,799141,847745
yukon-koyukuk census area alaska,0,Total for all sectors,All establishments,All establishments,2021,95,"17,359","2,194",297," ""02290""",8,CAGDP2,1,...,All industry total ,Thousands of dollars,282318,308186,307782,308490,321951,348668
apache arizona,0,Total for all sectors,All establishments,All establishments,2021,445,"2,79,442","63,934","5,886"," ""04001""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,2640484,2752407,2532312,2504909,2683962,2732412
cochise arizona,0,Total for all sectors,All establishments,All establishments,2021,"2,112","10,80,384","2,50,523","25,143"," ""04003""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,4585054,4703080,4906584,5341327,5417470,5697691
coconino arizona,0,Total for all sectors,All establishments,All establishments,2021,"3,836","26,00,670","5,52,278","51,131"," ""04005""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,7898455,8077292,8047913,7473214,8329374,9080290
gila arizona,0,Total for all sectors,All establishments,All establishments,2021,"1,039","4,83,258","1,20,160","10,761"," ""04007""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,1690566,1713503,1722225,1817798,2143978,2246148
graham arizona,0,Total for all sectors,All establishments,All establishments,2021,542,"4,07,316","1,04,931","9,118"," ""04009""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,970128,1020464,1094091,1272450,1608303,1633997
greenlee arizona,0,Total for all sectors,All establishments,All establishments,2021,84,"2,97,755","90,390","4,157"," ""04011""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,1405891,1362416,1361663,1611320,2337272,2256181
la paz arizona,0,Total for all sectors,All establishments,All establishments,2021,329,"1,22,711","29,465","3,616"," ""04012""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,664070,679289,722130,725599,838771,824716
maricopa arizona,0,Total for all sectors,All establishments,All establishments,2021,"1,04,022","10,92,45,341","2,65,74,438","18,00,495"," ""04013""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,237581202,253570040,271910024,280445536,315696835,350168218
mohave arizona,0,Total for all sectors,All establishments,All establishments,2021,"4,108","18,47,294","4,21,966","44,438"," ""04015""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,5323399,5569874,5920971,6206244,7135173,7714869
navajo arizona,0,Total for all sectors,All establishments,All establishments,2021,"1,791","8,21,016","1,82,366","19,805"," ""04017""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,2901492,3117312,2969250,2983630,3202808,3395904
pima arizona,0,Total for all sectors,All establishments,All establishments,2021,"20,694","1,57,17,391","37,84,045","3,12,775"," ""04019""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,42330595,44785905,47039546,48111914,51827743,55799638
pinal arizona,0,Total for all sectors,All establishments,All establishments,2021,"4,232","25,05,223","5,66,348","55,073"," ""04021""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,8486830,9153348,9528947,9920684,11055030,11918297
santa cruz arizona,0,Total for all sectors,All establishments,All establishments,2021,"1,089","4,55,406","1,05,577","10,948"," ""04023""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,1848358,2010864,2026242,2083438,2292063,2505106
yavapai arizona,0,Total for all sectors,All establishments,All establishments,2021,"6,292","26,71,841","6,12,141","61,579"," ""04025""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,7229041,7525710,7762918,8024791,9118525,9797212
yuma arizona,0,Total for all sectors,All establishments,All establishments,2021,"3,244","19,81,857","4,71,850","48,198"," ""04027""",6,CAGDP2,1,...,All industry total ,Thousands of dollars,7543432,7629476,8000172,7920696,8592508,9883018
arkansas arkansas,0,Total for all sectors,All establishments,All establishments,2021,494,"3,78,012","82,043","8,808"," ""05001""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,981778,1032654,1066376,1115307,1300261,1271852
ashley arkansas,0,Total for all sectors,All establishments,All establishments,2021,344,"2,12,272","50,903","4,543"," ""05003""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,792416,847134,809779,766073,827578,927001
baxter arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,088","6,10,349","1,44,184","13,872"," ""05005""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1389921,1539567,1658197,1663035,1752310,1954421
benton arkansas,0,Total for all sectors,All establishments,All establishments,2021,"7,298","88,29,517","30,84,022","1,26,598"," ""05007""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,14670030,15365798,16159522,17170036,19373621,21474621
boone arkansas,0,Total for all sectors,All establishments,All establishments,2021,857,"5,32,160","1,15,523","12,129"," ""05009""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1291432,1353987,1368657,1380083,1608286,1749621
bradley arkansas,0,Total for all sectors,All establishments,All establishments,2021,246,"90,738","22,431","2,295"," ""05011""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,330093,358227,346912,357578,420421,442098
calhoun arkansas,0,Total for all sectors,All establishments,All establishments,2021,56,"16,991","3,545",370," ""05013""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,337969,340369,334115,365201,394126,399896
carroll arkansas,0,Total for all sectors,All establishments,All establishments,2021,709,"3,16,956","70,934","8,470"," ""05015""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,832740,859304,875822,870116,1011734,1156249
chicot arkansas,0,Total for all sectors,All establishments,All establishments,2021,191,"73,741","16,166","2,001"," ""05017""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,268710,268517,274501,287281,353033,324527
clark arkansas,0,Total for all sectors,All establishments,All establishments,2021,531,"2,51,043","57,850","6,394"," ""05019""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,778588,839427,827047,840083,934676,973027
clay arkansas,0,Total for all sectors,All establishments,All establishments,2021,281,"84,520","18,151","2,296"," ""05021""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,343738,346214,337255,355958,438743,454189
cleburne arkansas,0,Total for all sectors,All establishments,All establishments,2021,596,"2,00,270","43,759","5,439"," ""05023""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,625173,630635,658870,634507,713955,781118
cleveland arkansas,0,Total for all sectors,All establishments,All establishments,2021,74,"18,916","4,550",639," ""05025""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,132301,148757,119620,120050,151938,213825
columbia arkansas,0,Total for all sectors,All establishments,All establishments,2021,533,"3,09,126","74,027","6,797"," ""05027""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,866831,944675,920982,908009,1112250,1251539
conway arkansas,0,Total for all sectors,All establishments,All establishments,2021,406,"2,12,070","49,523","4,737"," ""05029""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,696477,711610,695960,703244,848727,982615
craighead arkansas,0,Total for all sectors,All establishments,All establishments,2021,"2,651","20,71,008","4,72,327","44,707"," ""05031""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,4517827,4761145,5064002,5250802,5970244,6307054
crawford arkansas,0,Total for all sectors,All establishments,All establishments,2021,"1,056","6,05,351","1,40,235","15,445"," ""05033""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1695496,1742622,1789153,1837735,1966356,2148445
crittenden arkansas,0,Total for all sectors,All establishments,All establishments,2021,834,"5,61,602","1,19,597","13,350"," ""05035""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,1752818,1822847,1875493,1843854,1979296,2127359
cross arkansas,0,Total for all sectors,All establishments,All establishments,2021,365,"1,21,170","28,225","3,460"," ""05037""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,458347,440236,451978,474502,523575,525842
dallas arkansas,0,Total for all sectors,All establishments,All establishments,2021,171,"86,857","19,893","2,202"," ""05039""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,230865,236698,230530,266784,320000,325633
desha arkansas,0,Total for all sectors,All establishments,All establishments,2021,284,"1,31,286","32,835","3,211"," ""05041""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,523616,520213,543680,565653,654334,666247
drew arkansas,0,Total for all sectors,All establishments,All establishments,2021,412,"1,92,384","44,526","5,267"," ""05043""",5,CAGDP2,1,...,All industry total ,Thousands of dollars,611774,623299,623479,626352,703966,757290
